[202012UPDATE] Weighted Routing,3:24
[202012UPDATE] Latency Routing,2:44
[202012UPDATE] Geolocation Routing,5:02
[202012UPDATE] Geoproximity,4:50
[202012UPDATE] R53 Interoperability,11:50
Database Refresher - PART1,8:51
Database Refresher - PART2,14:45
[UPDATE202101] ACID vs BASE,11:02
Databases on EC2,13:08
[202101UPDATE] [DEMO] Migrating the Wordpress Monolith to a dedicated EC2 DB,18:32
Relational Database Service (RDS) Architecture,10:36
[202101UPDATE][DEMO] Migrating MariaDB database into RDS - PART1,19:52
[202101UPDATE][DEMO] Migrating MariaDB database into RDS - PART2,13:11
RDS High-Availability (Multi AZ),9:37
"RDS Automatic Backup, RDS Snapshots and Restore",13:41
RDS Read-Replicas,8:10
[UPDATE202101] [DEMO] MultiAZ & Using a snapshot to recover from data corruption - PART1,15:20
[UPDATE202101] [DEMO] MultiAZ & Using a snapshot to recover from data corruption - PART2,16:20
RDS Data Security (PRO lesson - Topic features in SAA-C02],7:03
[202103UPDATE] Aurora Architecture,13:44
[UPDATE202101] [DEMO] Migrating Wordpress onto Aurora - PART1,11:37
[UPDATE202101] [DEMO] Migrating Wordpress onto Aurora - PART2,13:01
Aurora Serverless,10:21
[UPDATE202101] [DEMO] Migrating to Aurora Serverless,14:47
Aurora Global Database,5:08
Multi-master writes,7:51
Database Migration Service (DMS),9:37
EFS Architecture,9:13
[UPDATE202101][DEMO] Implementing EFS - PART1,9:05
[UPDATE202101][DEMO] Implementing EFS - PART2,13:06
[UPDATE202101] [DEMO] Using EFS with Wordpress,17:29
Load Balancing Fundamentals,9:44
Application Load balancing (ALB),16:05
Launch Configuration and Templates,4:00
Auto-Scaling Groups,16:32
[DEMO] Elastic Cat Blog — Architecture,2:23
[DEMO] Elastic Cat Blog — PART 1 — Launch Template,19:48
[DEMO] Elastic Cat Blog — PART 2 — Autoscaling Group,19:57
[DEMO] Elastic Cat Blog — PART 3 — Load Balancer,19:59
Network Load Balancing (NLB),6:25
SSL Offload & Session Stickiness,12:11
Architecture Evolution - PART 1 - Monolithic and Tiered,8:52
"Architecture Evolution - PART 2 - Queue Based, Microservice & Event-Driven",13:09
AWS Lambda,14:59
CloudWatchEvents and EventBridge,7:51
[UPDATE202101] [DEMO] Automated EC2 Start and Stop and Protect using Lambda and Events - PART1 - Manual Invocation,14:22
[UPDATE202101] [DEMO] Automated EC2 Start and Stop and Protect using Lambda and Events - PART2 - Event-Driven Invocation,18:00
API Gateway,10:11
Serverless Architecture,12:55
Simple Notification Service,7:59
Step Functions,16:33
[UPDATE202101] [DEMO] - Pet-Cuddle-o-Tron - Serverless Application - PART1,4:39
[UPDATE202101][DEMO] - Pet-Cuddle-o-Tron - Serverless Application - PART2,8:04
[UPDATE202101][DEMO] - Pet-Cuddle-o-Tron - Serverless Application - PART3,15:25
[UPDATE202101][DEMO] - Pet-Cuddle-o-Tron - Serverless Application - PART4,14:11
[UPDATE202101][DEMO] - Pet-Cuddle-o-Tron - Serverless Application - PART5,14:18
[UPDATE202101][DEMO] - Pet-Cuddle-o-Tron - Serverless Application - PART6,2:44
Simple Queue Service,15:46
Kinesis & Kinesis Firehose,10:42
CloudFront Architecture Basics,15:49
ACM,6:37
[UPDATE202101] [DEMO] Adding a CDN to a static Website using S3 and CloudFront - Part 1,16:04
[UPDATE202101] [DEMO] Adding a CDN to a static Website using S3 and CloudFront - Part 2,12:28
[UPDATE202101] [DEMO] Adding a Custom Domain and HTTPS to a cloudFront distribution using ACM,11:22
Securing CF and S3 using OAI,4:22
[UPDATE202101] [DEMO] Using OAI,11:46
[202007Update][New] [email protected],8:03
Global Accelerator,10:37
VPC Flow Logs,11:16
Egress-Only Internet gateway,6:46
VPC Endpoints (Gateway),11:41
VPC Endpoints (Interface),11:44
[UPDATE202101] [DEMO] Accessing S3 Using a Gateway Endpoint (Part1/3),11:55
[UPDATE202101] [DEMO] Using SNS from a private VPC using Interface Endpoints (Part2/3),11:46
[UPDATE202101] [DEMO] Implementing an Egress-Only Internet Gateway (Part3/3),8:12
VPC Peering,9:04
[UPDATE202101][DEMO] VPC Peering,20:56
[Advanced] [Optional] Border Gateway Protocol 101,17:29
AWS Site-to-Site VPN,18:54
[DEMO] VPC and On-premises VPN - PART1,10:45
[DEMO] VPC and On-premises VPN - PART2,15:03
Direct Connect,16:13
Direct Connect Resilience,14:07
Transit Gateway,10:59
[DEMO] Implementing Advanced Hybrid Networking using Transit gateway - PART1,17:32
[DEMO] Implementing Advanced Hybrid Networking using Transit gateway - PART2,15:56
Storage gateway,16:50
Snowball / Edge / Snowmobile,10:47
Directory Service,15:50
DataSync,9:27
FSx for Windows Servers,12:02
[202007Update] [NEW] FSx For Lustre,14:19
AWS Secrets Manager,7:56
AWS WAF & Shield,13:09
CloudHSM,15:12
AWS Config,6:31
[UPDATE202101] Amazon Macie,12:04
DynamoDB - Architecture,11:33
"DynamoDB - Operations, Consistency and Performance-PART1",13:06
"DynamoDB - Operations, Consistency and Performance-PART2",11:41
DynamoDB - Streams & Lambda Triggers,9:09
DynamoDB Local and Global Secondary Indexes,13:08
DynamoDB - Global Tables,5:20
DynamoDB - Accelerator (DAX),10:58
Amazon Athena,6:51
[202102UPDATE] [DEMO] Athena Demo - PART1,13:50
[202102UPDATE] [DEMO] Athena Demo - PART2,11:21
[202007Update] [NEW] Elasticache,12:51
[202009Update] Redshift Architecture,11:32
[202009Update] Redshift DR and Resilience,3:40
Exam Technique,13:49
Question Technique - PART1,14:47
Question Technique - PART2,9:33
Thanks! and a favour,3:15
